BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,2010,2010,SORN,30,29,24,27,20,19,19,13,9,6
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD HELE S-A,[x],2015,Licensed,0,0,1,1,1,0,1,1,0,[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD HELE S-A,[x],2015,SORN,0,0,0,0,0,1,1,0,0,[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD HELE S-A,[x],2014,Licensed,0,0,0,0,0,0,0,1,1,0
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD HELE S-A,[x],2014,SORN,1,1,1,1,1,1,1,0,0,0
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD HELE S-A,2016,2016,Licensed,2,1,1,1,2,2,2,2,[z],[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD HELE S-A,2016,2016,SORN,1,2,2,2,1,1,1,1,[z],[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD HELE S-A,2015,2015,Licensed,7,6,8,7,8,9,10,12,15,[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD HELE S-A,2015,2015,SORN,6,9,7,7,6,7,5,4,1,[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD S-A,[x],2015,Licensed,0,0,0,1,1,1,1,1,2,[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD S-A,[x],2015,SORN,1,1,1,0,0,0,0,0,0,[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD S-A,[x],2013,Licensed,1,1,1,1,1,0,1,1,1,0
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD S-A,[x],2013,SORN,0,0,0,0,0,1,0,0,0,0
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD S-A,2017,2017,Licensed,0,0,0,0,0,1,1,[z],[z],[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD S-A,2017,2017,SORN,0,0,0,1,1,0,0,[z],[z],[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD S-A,2017,2016,SORN,1,1,1,1,1,1,0,[z],[z],[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD S-A,2016,2016,Licensed,1,0,0,0,0,1,1,1,[z],[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD S-A,2016,2016,SORN,0,1,1,1,0,0,0,0,[z],[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD S-A,2015,2015,Licensed,14,21,17,15,18,23,25,27,38,[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD S-A,2015,2015,SORN,24,18,24,24,22,17,13,13,4,[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE AB HELE S-A,[x],2015,Licensed,1,0,0,1,1,1,1,1,0,[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE AB HELE S-A,[x],2015,SORN,0,1,1,0,0,0,0,0,0,[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE AB HELE S-A,2016,2016,Licensed,0,0,0,0,0,0,0,1,[z],[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE AB HELE S-A,2016,2016,SORN,1,1,1,1,1,1,1,0,[z],[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE AB HELE S-A,2015,2015,Licensed,14,13,15,17,17,17,22,20,28,[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE AB HELE S-A,2015,2015,SORN,13,14,12,9,10,11,7,9,2,[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE AB S-A,[x],2015,Licensed,2,0,0,0,0,1,1,1,1,[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE AB S-A,[x],2015,SORN,0,1,1,1,1,0,0,0,0,[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE AB S-A,[x],2014,Licensed,2,3,4,4,5,6,5,5,5,1
Cars,FERRARI,FERRARI 458,458 SPECIALE AB S-A,[x],2014,SORN,6,6,6,6,5,4,2,2,2,0
Cars,FERRARI,FERRARI 458,458 SPECIALE AB S-A,2018,2018,Licensed,1,1,0,1,1,2,[z],[z],[z],[z]
