BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2001,Licensed,3,3,5,5,9,20,37,64,111,194
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2001,SORN,19,19,19,21,23,25,31,35,35,23
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2000,Licensed,1,2,2,4,6,7,9,17,39,67
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2000,SORN,15,14,14,13,12,13,15,17,14,13
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],1999,Licensed,0,2,1,1,3,3,4,4,5,11
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],1999,SORN,5,4,6,5,4,4,3,3,4,2
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],1998,Licensed,0,0,0,0,0,0,0,1,1,3
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],1998,SORN,2,2,2,2,2,2,2,2,2,2
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],1997,SORN,1,1,1,1,1,1,1,1,1,1
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],1996,Licensed,0,0,0,0,0,0,0,0,1,1
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],1994,SORN,0,0,0,0,0,0,0,0,0,1
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,2015,2015,Licensed,0,0,0,0,0,1,1,1,0,[z]
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,2008,2008,Licensed,2,2,2,2,1,2,3,3,3,3
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,2008,2008,SORN,1,1,1,1,2,1,0,0,0,0
