BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA S-A,[x],2008,Licensed,0,0,1,1,0,1,1,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA S-A,[x],1969,Licensed,0,0,0,1,1,1,1,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA S-A,2009,2009,Licensed,34,36,37,40,46,50,52,55,52,49
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA S-A,2009,2009,SORN,1,1,1,1,0,0,1,0,3,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP 16V,2010,2010,Licensed,5,5,6,6,7,7,7,7,7,7
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP 16V,2010,2010,SORN,1,1,0,0,0,0,0,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP 16V,2009,2009,Licensed,164,184,208,238,253,255,273,288,295,291
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP 16V,2009,2009,SORN,14,15,19,14,6,10,8,3,3,3
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP 16V,2008,2008,Licensed,70,82,94,99,105,113,123,122,125,130
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP 16V,2008,2008,SORN,7,6,6,5,7,7,3,2,2,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP 8V,[x],2009,Licensed,3,3,4,4,4,4,4,4,4,4
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP 8V,[x],2008,Licensed,0,0,1,1,1,2,2,2,2,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP 8V,2011,2011,Licensed,2,2,2,2,2,2,2,2,2,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP 8V,2010,2010,Licensed,15,14,18,15,15,16,18,20,21,20
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP 8V,2010,2010,SORN,1,1,1,3,4,3,1,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP 8V,2009,2009,Licensed,703,813,912,1037,1093,1166,1218,1235,1278,1289
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP 8V,2009,2009,SORN,72,63,56,54,54,32,27,31,15,8
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP 8V,2008,2008,Licensed,212,258,312,366,400,430,466,477,498,502
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP 8V,2008,2008,SORN,33,26,31,27,21,17,12,8,4,3
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP MULTIJET,[x],2008,Licensed,0,0,0,1,1,1,1,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP MULTIJET,2010,2010,Licensed,1,1,1,2,2,2,2,2,2,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP MULTIJET,2010,2010,SORN,0,0,1,0,0,0,0,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP MULTIJET,2009,2009,Licensed,48,67,74,92,102,114,124,134,132,140
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP MULTIJET,2009,2009,SORN,6,5,6,3,3,1,2,1,2,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP MULTIJET,2008,2008,Licensed,32,44,52,59,66,79,79,85,88,95
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO GP MULTIJET,2008,2008,SORN,8,8,8,5,7,5,7,3,4,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SOUND,[x],2010,Licensed,1,1,1,1,1,2,2,2,2,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SOUND,2011,2011,Licensed,97,104,112,117,117,121,121,128,128,127
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SOUND,2011,2011,SORN,1,6,3,3,1,2,2,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SOUND,2010,2010,Licensed,1572,1723,1868,1940,2000,2076,2119,2154,2179,2201
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SOUND,2010,2010,SORN,86,81,69,75,66,50,44,25,25,13
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SOUND,2009,2009,Licensed,11,14,19,19,21,24,27,31,31,30
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SOUND,2009,2009,SORN,1,0,1,1,1,1,1,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SPORTING T-J,[x],2009,Licensed,0,0,1,1,1,2,1,2,2,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SPORTING T-J,[x],2008,Licensed,2,3,4,4,4,4,4,4,4,4
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SPORTING T-J,[x],2007,Licensed,1,1,1,1,1,1,1,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SPORTING T-J,2010,2010,Licensed,9,9,9,9,9,9,10,10,9,10
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SPORTING T-J,2010,2010,SORN,1,1,1,1,1,1,0,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SPORTING T-J,2009,2009,Licensed,305,352,384,426,457,489,510,537,553,562
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SPORTING T-J,2009,2009,SORN,54,49,54,43,41,26,26,12,8,7
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SPORTING T-J,2008,2008,Licensed,255,299,368,420,490,539,580,602,602,641
