BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2012,2012,Licensed,20,19,19,18,22,22,27,26,31,35
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2012,2012,SORN,19,14,12,16,12,11,11,11,11,10
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2011,2011,Licensed,4,4,6,5,6,6,7,7,6,6
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2011,2011,SORN,2,3,1,2,1,1,0,0,0,0
Cars,LAMBORGHINI,LAMBORGHINI CENTENARIO,CENTENARIO LP 770-4 S-A,2019,2019,Licensed,0,1,1,1,1,[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI COUNTACH,COUNTACH LPI 800-4 MHEV AUTO,2022,2022,Licensed,1,1,[z],[z],[z],[z],[z],[z],[z],[z]
Other vehicles,LAMBORGHINI,LAMBORGHINI CRONO,CRONO 70,2021,2021,Licensed,1,1,1,[z],[z],[z],[z],[z],[z],[z]
Other vehicles,LAMBORGHINI,LAMBORGHINI CRONO,CRONO 70,2020,2020,Licensed,1,1,1,1,[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO GT,[x],2000,Licensed,1,0,0,0,0,0,0,0,0,0
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO GT,[x],2000,SORN,1,2,2,2,2,2,2,2,2,2
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO GT,[x],1999,Licensed,0,1,0,0,0,0,0,0,0,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO GT,[x],1999,SORN,1,0,1,1,1,1,1,1,1,0
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO GT,[x],1993,Licensed,1,1,1,1,1,1,1,0,1,0
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO GT,2000,2000,Licensed,0,0,0,0,1,1,1,1,1,0
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO GT,2000,2000,SORN,1,1,1,1,0,0,0,0,0,0
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO SV,[x],1999,Licensed,0,0,0,0,1,1,1,0,0,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO SV,[x],1999,SORN,0,1,1,1,0,0,0,0,0,0
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO SV,[x],1998,SORN,2,2,2,2,2,1,1,1,1,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO SV,[x],1997,Licensed,1,1,1,1,1,1,1,1,1,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO SV,[x],1996,SORN,1,1,1,1,1,1,1,1,1,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO SV,2019,2019,Licensed,0,0,1,0,1,[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO SV,2008,2008,SORN,1,1,1,1,1,1,1,1,0,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO SV,2000,2000,Licensed,0,0,0,0,0,0,0,0,0,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO SV,1999,1999,Licensed,2,1,1,2,3,2,3,2,2,3
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO SV,1999,1999,SORN,2,3,3,3,2,3,2,2,2,2
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO SV,1998,1998,Licensed,1,3,2,3,4,2,2,2,2,2
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO SV,1998,1998,SORN,2,1,2,1,0,0,1,1,2,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,[x],2001,Licensed,2,2,2,1,2,1,2,2,1,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,[x],2001,SORN,0,0,0,1,0,1,0,0,0,0
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,[x],2000,SORN,1,1,1,1,1,1,1,1,1,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,[x],1997,Licensed,0,0,0,1,1,0,1,1,0,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,[x],1997,SORN,1,1,1,0,0,1,0,0,1,0
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,[x],1995,Licensed,0,0,0,0,0,0,0,0,1,0
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,[x],1995,SORN,2,2,2,2,2,2,2,2,1,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,[x],1994,SORN,2,2,2,1,1,1,1,1,0,0
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,[x],1991,SORN,2,2,2,2,2,2,2,2,2,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,2010,2010,SORN,1,1,1,1,1,1,1,0,0,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,2002,2002,Licensed,2,1,0,1,1,0,2,2,2,2
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,2002,2002,SORN,1,2,3,2,2,3,1,1,1,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,2001,2001,Licensed,6,3,3,4,5,4,5,5,6,3
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,2001,2001,SORN,5,8,8,6,6,6,6,5,4,7
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,2000,2000,Licensed,2,2,3,2,2,2,3,3,3,4
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,2000,2000,SORN,2,2,1,2,2,2,1,1,1,0
