BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cars,MCLAREN,MCLAREN 650S,650S SPIDER S-A,2014,2014,Licensed,3,4,3,1,2,1,2,2,1,0
Cars,MCLAREN,MCLAREN 650S,650S SPIDER S-A,2014,2014,SORN,1,0,1,1,0,0,0,0,0,0
Cars,MCLAREN,MCLAREN 675LT,675LT COUPE S-A,[x],2016,Licensed,1,0,1,2,1,1,1,0,[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT COUPE S-A,[x],2016,SORN,3,4,3,2,2,2,0,0,[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT COUPE S-A,2017,2017,Licensed,0,0,0,1,2,2,2,[z],[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT COUPE S-A,2017,2017,SORN,2,2,2,1,0,0,0,[z],[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT COUPE S-A,2016,[x],Licensed,1,1,1,1,1,1,1,1,[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT COUPE S-A,2016,2016,Licensed,25,24,30,31,34,35,39,47,[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT COUPE S-A,2016,2016,SORN,24,21,19,19,15,13,9,2,[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT COUPE S-A,2016,2015,Licensed,1,2,2,2,3,3,3,2,[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT COUPE S-A,2016,2015,SORN,2,0,1,1,0,0,0,0,[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT COUPE S-A,2015,2015,Licensed,5,8,8,11,12,13,12,14,18,[z]
Cars,MCLAREN,MCLAREN 675LT,675LT COUPE S-A,2015,2015,SORN,7,7,9,7,5,4,4,1,0,[z]
Cars,MCLAREN,MCLAREN 675LT,675LT COUPE S-A,2015,2014,Licensed,0,0,0,0,1,1,0,1,1,[z]
Cars,MCLAREN,MCLAREN 675LT,675LT COUPE S-A,2015,2014,SORN,1,1,1,1,0,0,1,0,0,[z]
Cars,MCLAREN,MCLAREN 675LT,675LT SPIDER S-A,[x],2016,Licensed,1,1,0,0,0,0,1,0,[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT SPIDER S-A,[x],2016,SORN,1,1,1,1,1,1,0,0,[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT SPIDER S-A,2021,2016,SORN,1,1,1,[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT SPIDER S-A,2018,2018,Licensed,2,1,0,0,0,1,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT SPIDER S-A,2018,2018,SORN,0,1,2,2,2,1,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT SPIDER S-A,2017,2017,Licensed,10,6,8,10,11,10,11,[z],[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT SPIDER S-A,2017,2017,SORN,6,9,6,6,4,5,4,[z],[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT SPIDER S-A,2017,2016,Licensed,4,5,4,4,6,8,10,[z],[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT SPIDER S-A,2017,2016,SORN,4,4,4,5,4,3,1,[z],[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT SPIDER S-A,2016,2016,Licensed,9,9,8,3,7,8,9,11,[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT SPIDER S-A,2016,2016,SORN,4,4,5,8,4,2,3,0,[z],[z]
Cars,MCLAREN,MCLAREN 675LT,675LT SPIDER S-A,2015,2015,SORN,1,1,1,1,1,1,1,0,0,[z]
Cars,MCLAREN,MCLAREN 720S,720S SPECIAL LM EDITION V8 S-A,2021,2021,Licensed,2,1,2,[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S SPECIAL LM EDITION V8 S-A,2021,2021,SORN,0,1,0,[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S SPECIAL LM EDITION V8 S-A,2020,2020,Licensed,0,0,1,2,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S SPECIAL LM EDITION V8 S-A,2020,2020,SORN,0,0,1,0,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,[x],2019,Licensed,1,1,0,1,0,[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,[x],2019,SORN,0,0,1,0,0,[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,[x],2018,Licensed,0,0,1,0,0,0,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,[x],2017,Licensed,1,2,2,1,0,0,0,[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,[x],2017,SORN,2,1,1,1,1,1,0,[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,2023,2023,Licensed,20,[z],[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,2023,2023,SORN,4,[z],[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,2022,2022,Licensed,44,68,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,2022,2022,SORN,19,7,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,2021,2021,Licensed,57,58,69,[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,2021,2021,SORN,39,41,23,[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,2020,2020,Licensed,54,58,67,78,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,2020,2020,SORN,25,21,18,10,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,2019,2019,Licensed,119,127,140,144,165,[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,2019,2019,SORN,46,38,31,34,11,[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,2019,2018,Licensed,1,0,1,1,1,[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,2018,2018,Licensed,164,167,186,193,205,252,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,2018,2018,SORN,60,55,48,46,40,8,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,2018,2017,Licensed,8,7,8,10,10,10,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,2018,2017,SORN,1,1,2,0,0,0,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,2017,2017,Licensed,72,69,81,81,94,93,110,[z],[z],[z]
Cars,MCLAREN,MCLAREN 720S,720S V8 S-A,2017,2017,SORN,25,22,20,19,10,11,3,[z],[z],[z]
Cars,MCLAREN,MCLAREN 750S,750S V8 S-A,2023,2023,Licensed,39,[z],[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 750S,750S V8 S-A,2023,2023,SORN,10,[z],[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 765LT,765LT V8 S-A,2023,2023,Licensed,3,[z],[z],[z],[z],[z],[z],[z],[z],[z]
